,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,URBANICITY
6,0,05MAY65,34,1,12.0,125301.0,Yes,0.0,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,17430,1,Sports Car,no,0,0,No,0,2946,7.0,Highly Urban/ Urban
8,1,17SEP59,40,1,11.0,50815.0,Yes,0.0,z_No,M,z_High School,Manager,21,Private,18930,6,Minivan,no,3295,1,No,2,6477,1.0,Highly Urban/ Urban
10,1,14DEC61,38,2,9.25,107961.0,No,333680.0,Yes,M,Bachelors,z_Blue Collar,44,Commercial,16970,1,Van,yes,2374,1,Yes,10,4021,7.0,Highly Urban/ Urban
11,0,22NOV64,35,0,10.0,62978.0,No,0.0,z_No,z_F,Bachelors,Clerical,34,Private,11200,1,z_SUV,no,0,0,No,0,2501,1.0,Highly Urban/ Urban
13,0,25DEC45,54,0,14.0,77100.0,No,0.0,z_No,z_F,Masters,Lawyer,15,Private,18300,1,Sports Car,no,0,0,No,0,6077,11.0,Highly Urban/ Urban
16,0,19JUL46,53,0,11.0,130795.0,No,0.0,z_No,M,PhD,z_Blue Collar,64,Commercial,28340,6,Panel Truck,yes,0,0,No,3,1267,10.0,Highly Urban/ Urban
18,0,17JAN54,45,0,0.0,0.0,No,106859.0,Yes,z_F,<High School,Home Maker,48,Private,6000,1,z_SUV,no,0,0,No,3,2920,5.0,Highly Urban/ Urban
20,0,19APR40,59,0,12.0,87460.0,No,0.0,z_No,M,z_High School,Manager,45,Private,15420,1,Minivan,yes,44857,2,No,4,4111,1.0,Highly Urban/ Urban
24,0,22FEB71,28,1,13.0,44077.0,No,170598.0,Yes,z_F,z_High School,z_Blue Collar,29,Commercial,8710,6,z_SUV,no,8935,2,No,0,6857,1.0,Highly Urban/ Urban
25,0,07FEB56,43,0,13.0,37214.0,No,113151.5,Yes,M,<High School,z_Blue Collar,52,Commercial,26560,1,Panel Truck,yes,0,0,No,3,3627,1.0,Highly Urban/ Urban
30,0,14DEC38,61,0,12.0,37940.0,No,182739.0,Yes,z_F,z_High School,z_Blue Collar,16,Commercial,11290,1,Sports Car,no,0,0,No,0,5247,1.0,Highly Urban/ Urban
32,0,17APR67,32,1,9.0,31275.0,No,118160.0,Yes,z_F,z_High School,Clerical,26,Private,10030,1,z_SUV,no,0,0,No,0,4486,1.0,Highly Urban/ Urban
36,0,15MAY45,54,0,12.0,33212.0,No,158432.0,Yes,M,<High School,z_Blue Collar,27,Commercial,24000,4,Panel Truck,no,0,0,No,5,4901,7.0,Highly Urban/ Urban
60,0,26APR59,40,0,11.0,16989.0,No,0.0,z_No,M,<High School,z_Blue Collar,20,Commercial,12230,4,Pickup,yes,26104,1,Yes,13,6100,6.0,Highly Urban/ Urban
62,1,20JAN62,37,2,13.0,72030.66344778254,Yes,0.0,z_No,z_F,z_High School,z_Blue Collar,62,Commercial,9360,4,Sports Car,no,0,0,No,0,6195,7.0,Highly Urban/ Urban
64,0,02DEC54,45,2,15.0,16352.0,No,134164.0,Yes,z_F,z_High School,Home Maker,37,Private,10520,1,z_SUV,no,7838,1,No,1,8841,1.0,Highly Urban/ Urban
66,1,30DEC53,46,1,14.0,63952.0,No,196368.0,Yes,z_F,Masters,Lawyer,50,Private,32340,6,Van,no,27877,2,Yes,0,2117,13.0,Highly Urban/ Urban
67,0,16APR65,34,3,12.0,22510.0,No,123888.0,Yes,M,z_High School,Clerical,26,Private,14690,4,Minivan,yes,0,0,Yes,0,1230,1.0,z_Highly Rural/ Rural
69,1,12OCT55,44,2,11.0,24060.0,Yes,0.0,z_No,M,Bachelors,Clerical,24,Private,14220,4,Minivan,no,0,0,No,0,3532,10.0,Highly Urban/ Urban
70,0,25JUL66,33,4,12.0,20822.0,No,76022.0,Yes,z_F,z_High School,Home Maker,46,Private,6880,13,z_SUV,no,7896,3,No,0,866,1.0,Highly Urban/ Urban
