,Record Type,Make,Body Type,Registration Class
0,VEH,HONDA,station wagon/sport utility vehicle,610061
1,VEH,JEEP,station wagon/sport utility vehicle,596894
2,VEH,TOYOT,station wagon/sport utility vehicle,580574
3,VEH,TOYOT,sedan,544441
4,VEH,HONDA,sedan,487100
5,VEH,CHEVR,station wagon/sport utility vehicle,451341
6,VEH,FORD,station wagon/sport utility vehicle,442826
7,VEH,SUBAR,station wagon/sport utility vehicle,394468
8,VEH,CHEVR,truck,358115
9,VEH,NISSA,station wagon/sport utility vehicle,355492
10,VEH,FORD,truck,343677
11,VEH,NISSA,sedan,298399
12,VEH,CHEVR,sedan,254972
13,VEH,HYUND,sedan,227593
14,VEH,FORD,sedan,185969
15,VEH,DODGE,station wagon/sport utility vehicle,169210
16,VEH,RAM,truck,158017
17,VEH,HYUND,station wagon/sport utility vehicle,157790
18,VEH,KIA,station wagon/sport utility vehicle,156801
19,VEH,GMC,station wagon/sport utility vehicle,136399
20,VEH,HA/DA,motorcycle,123148
21,VEH,LEXUS,station wagon/sport utility vehicle,119770
22,VEH,TOYOT,truck,118141
23,VEH,BMW,sedan,117877
24,VEH,ME/BE,station wagon/sport utility vehicle,116626
25,VEH,BMW,station wagon/sport utility vehicle,114450
26,VEH,VOLKS,sedan,113998
27,VEH,ME/BE,sedan,110810
28,VEH,GMC,truck,109909
29,VEH,MAZDA,station wagon/sport utility vehicle,101536
30,VEH,ACURA,station wagon/sport utility vehicle,98187
31,VEH,FORD,van,97282
32,VEH,DODGE,truck,95112
33,VEH,SUBAR,sedan,94413
34,VEH,CHRYS,station wagon/sport utility vehicle,89412
35,VEH,CHEVR,3-door,80295
36,VEH,KIA,sedan,77986
37,VEH,VOLKS,station wagon/sport utility vehicle,75283
38,VEH,LEXUS,sedan,69869
39,VEH,AUDI,station wagon/sport utility vehicle,65245
40,VEH,MAZDA,sedan,59947
41,VEH,ACURA,sedan,59775
42,VEH,BUICK,sedan,58497
43,VEH,AUDI,sedan,58165
44,VEH,BUICK,station wagon/sport utility vehicle,57390
45,VEH,VOLVO,station wagon/sport utility vehicle,56342
46,TRL,CA/ON,trailer,54774
47,VEH,HONDA,3-door,54602
48,VEH,DODGE,sedan,53218
49,VEH,CADIL,station wagon/sport utility vehicle,51648
50,VEH,FORD,3-door,49857
51,VEH,CHEVR,van,48892
52,VEH,LA/RO,station wagon/sport utility vehicle,48733
53,TRL,HOMEM,trailer,45735
54,VEH,INFIN,station wagon/sport utility vehicle,45278
55,SNOW,SK/DO,snow plow,44240
56,VEH,CHRYS,sedan,43559
57,VEH,INFIN,sedan,42142
58,VEH,HONDA,motorcycle,42142
59,VEH,CADIL,sedan,41494
60,VEH,MITSU,station wagon/sport utility vehicle,41030
61,VEH,LINCO,station wagon/sport utility vehicle,38589
62,VEH,NISSA,truck,37831
63,VEH,POLAR,multi-wheeled vehicle,35539
64,VEH,LINCO,sedan,31548
65,VEH,YAMAH,motorcycle,31161
66,SNOW,POLAR,snow plow,30877
67,VEH,VOLVO,sedan,24905
68,VEH,PONTI,sedan,24799
69,VEH,FORD,convertible,24770
70,VEH,KAWAS,motorcycle,24655
71,SNOW,AR/CA,snow plow,23809
72,TRL,KARAV,trailer,23506
73,VEH,BMW,convertible,23413
74,VEH,SUZUK,motorcycle,22888
75,VEH,MERCU,sedan,22163
76,VEH,TOYOT,3-door,21257
77,VEH,HONDA,multi-wheeled vehicle,21145
80,VEH,MITSU,sedan,19662
81,VEH,BMW,3-door,19595
82,VEH,FORD,big truck,19117
83,TRL,TRITO,trailer,19060
84,VEH,DODGE,3-door,19019
85,VEH,YAMAH,multi-wheeled vehicle,18320
86,VEH,CHEVR,convertible,18163
87,VEH,PORSC,station wagon/sport utility vehicle,17018
88,VEH,HONDA,truck,16987
89,VEH,ME/BE,convertible,16755
90,VEH,TESLA,sedan,16716
91,VEH,RAM,van,16700
92,VEH,VOLKS,3-door,16542
93,VEH,GMC,van,16177
94,VEH,PONTI,3-door,15138
96,VEH,INTER,big truck,15134
97,VEH,FORD,station wagon/sport utility vehicle,14761
98,TRL,CARRY,trailer,14350
99,VEH,SATUR,sedan,13859
100,VEH,ME/BE,3-door,13279
101,VEH,MACK,big truck,13192
102,VEH,MINI,3-door,13161
103,TRL,LO/RI,trailer,12163
104,VEH,IC,bus,12129
105,VEH,MERCU,station wagon/sport utility vehicle,11802
106,VEH,HYUND,3-door,11339
107,VEH,PORSC,3-door,10770
108,VEH,FREIG,van,10756
109,VEH,MINI,station wagon/sport utility vehicle,10641
111,SNOW,YAMAH,snow plow,9978
112,VEH,MAZDA,convertible,9870
114,VEH,SATUR,station wagon/sport utility vehicle,9803
115,VEH,TESLA,station wagon/sport utility vehicle,9749
116,VEH,BMW,motorcycle,9697
117,VEH,NISSA,3-door,9077
118,TRL,SU/TR,trailer,9057
119,VEH,VOLKS,convertible,8793
120,VEH,ME/BE,van,8781
121,VEH,FREIG,tractor,8685
122,VEH,JAGUA,sedan,8509
123,VEH,PORSC,convertible,8031
125,VEH,CHRYS,convertible,7833
126,VEH,SUZUK,sedan,7700
127,VEH,AUDI,convertible,7642
128,VEH,KAWAS,multi-wheeled vehicle,7631
130,TRL,YA/CL,trailer,7327
131,VEH,NISSA,van,7308
132,TRL,CAM,trailer,7170
133,TRL,EZ/LO,trailer,7141
134,TRL,SH/LA,trailer,7057
135,TRL,TRAIL,trailer,6946
137,VEH,TRIUM,motorcycle,6922
138,VEH,JEEP,truck,6877
139,VEH,SUZUK,multi-wheeled vehicle,6763
140,TRL,HAULM,trailer,6690
141,TRL,VENTU,trailer,6595
142,VEH,BL/BI,bus,6549
143,VEH,AUDI,3-door,6466
144,VEH,CHEVR,big truck,6462
145,VEH,FREIG,station wagon/sport utility vehicle,6440
147,TRL,PJ/TR,trailer,6187
148,VEH,FREIG,bus,6105
149,VEH,PETER,tractor,6086
150,VEH,KENWO,tractor,6013
151,VEH,RAM,station wagon/sport utility vehicle,5973
152,VEH,NIU,motorcycle,5950
153,VEH,CANAM,multi-wheeled vehicle,5754
154,VEH,CADIL,3-door,5671
155,VEH,INFIN,3-door,5666
157,VEH,SUZUK,station wagon/sport utility vehicle,5380
158,TRL,SHORE,trailer,5369
159,TRL,BR/MA,trailer,5291
160,VEH,HUMME,station wagon/sport utility vehicle,5222
161,VEH,JAGUA,station wagon/sport utility vehicle,5171
162,VEH,FIAT,3-door,5080
163,VEH,PONTI,station wagon/sport utility vehicle,5036
164,VEH,THOMA,bus,5024
165,VEH,ISUZU,van,4991
167,VEH,SAAB,sedan,4891
168,VEH,AR/CA,multi-wheeled vehicle,4874
170,VEH,DUCAT,motorcycle,4795
171,TRL,GR/DA,trailer,4760
172,VEH,MINI,convertible,4716
173,VEH,INTER,station wagon/sport utility vehicle,4698
174,VEH,ACURA,3-door,4607
175,VEH,FREIG,truck,4547
176,VEH,CHEVR,bus,4529
179,VEH,GMC,big truck,4302
180,TRL,BI/TE,trailer,4300
181,VEH,AL/RO,station wagon/sport utility vehicle,4287
182,VEH,PONTI,convertible,4230
184,VEH,INTER,tractor,4209
185,VEH,ISUZU,truck,4179
186,VEH,INTER,van,4164
187,VEH,MACK,tractor,4151
188,VEH,DODGE,van,4132
191,VEH,CA/AM,multi-wheeled vehicle,4101
192,VEH,VOLVO,tractor,4067
193,VEH,FORD,big truck,4061
194,TRL,QUALI,trailer,4046
195,VEH,OLDSM,sedan,4035
196,VEH,VESPA,motorcycle,4023
197,VEH,FORD,bus,3982
198,VEH,TOYOT,taxi,3925
200,VEH,BUICK,3-door,3817
201,TRL,SNOWB,trailer,3808
202,VEH,TOYOT,convertible,3769
203,TRL,CA/MA,trailer,3716
204,VEH,FREIG,big truck,3664
205,TRL,LO/RI,trailer,3586
206,VEH,KENWO,big truck,3576
207,VEH,PLYMO,3-door,3491
208,VEH,OLDSM,3-door,3480
209,VEH,INDIA,motorcycle,3467
210,VEH,CHEVR,station wagon/sport utility vehicle,3421
214,VEH,HINO,truck,3358
215,VEH,FORD,big truck,3318
216,VEH,CFMOT,multi-wheeled vehicle,3306
218,VEH,MINI,sedan,3247
219,VEH,CANAM,motorcycle,3223
220,TRL,VENTU,trailer,3199
221,VEH,INTER,truck,3154
222,TRL,HOMEM,trailer,3138
223,VEH,SMART,3-door,3138
225,VEH,PETER,big truck,3124
226,TRL,CH/NA,trailer,3120
227,VEH,KTM,motorcycle,3105
228,VEH,PORSC,sedan,3087
230,VEH,AL/RO,sedan,3013
231,VEH,INTER,big truck,2958
232,VEH,FORD,truck,2915
233,TRL,SU/TR,trailer,2903
234,VEH,MITSU,3-door,2888
235,TRL,ESCOR,trailer,2872
236,TRL,WABAS,trailer,2809
237,VEH,GMC,station wagon/sport utility vehicle,2773
238,VEH,GENES,sedan,2738
239,VEH,HINO,van,2729
241,VEH,JAGUA,convertible,2701
243,TRL,JA/FL,trailer,2680
244,TRL,KAUFM,trailer,2672
246,VEH,MASER,sedan,2606
247,VEH,SAAB,convertible,2600
249,VEH,VICTO,motorcycle,2581
251,VEH,MG,convertible,2546
254,TRL,ALUMA,trailer,2420
255,TRL,UTILI,trailer,2382
256,VEH,FIAT,station wagon/sport utility vehicle,2377
257,TRL,ROCKW,trailer,2373
258,VEH,CATER,power shovel,2367
259,VEH,WINNE,trailer,2361
261,TRL,BLIZZ,trailer,2289
262,VEH,ORION,bus,2278
263,VEH,NE/FL,bus,2272
264,SNOW,BOMBA,snow plow,2255
265,TRL,UNITE,trailer,2236
266,VEH,HINO,van,2230
269,TRL,OTHER,trailer,2167
270,TRL,CR/CO,trailer,2137
272,TRL,MAC,trailer,2122
273,VEH,FIAT,convertible,2120
276,VEH,FORD,trailer,2046
277,VEH,RAM,station wagon/sport utility vehicle,2045
278,TRL,SPRIN,trailer,2025
279,VEH,INTER,big truck,2007
280,TRL,TRAIL,trailer,2005
281,TRL,PJ,trailer,1999
282,TRL,PACE,trailer,1984
283,VEH,FORD,tow truck / wrecker,1980
284,TRL,WE/CA,trailer,1970
285,TRL,CA/MA,trailer,1964
286,TRL,CR/CO,trailer,1953
287,TRL,LO/CH,trailer,1950
288,TRL,EAGLE,trailer,1935
290,TRL,INTER,trailer,1924
291,TRL,COLEM,trailer,1919
293,TRL,JAYCO,trailer,1913
294,TRL,HOMEM,station wagon/sport utility vehicle,1892
295,TRL,CHERO,trailer,1843
296,VEH,CASE,power shovel,1830
297,VEH,JEEP,sedan,1829
298,TRL,LO/TR,trailer,1808
299,TRL,JAYFL,trailer,1807
300,VEH,LEXUS,3-door,1805
301,VEH,CADIL,convertible,1789
302,VEH,MERCU,3-door,1787
304,VEH,LEXUS,convertible,1767
306,TRL,CHANG,trailer,1708
307,VEH,BUICK,convertible,1698
308,TRL,COUGA,trailer,1692
310,TRL,BI/TE,trailer,1661
312,VEH,HONDA,sedan,1653
313,VEH,SAAB,station wagon/sport utility vehicle,1649
314,TRL,FEATH,trailer,1644
315,VEH,VOLVO,convertible,1633
316,VEH,MAZDA,truck,1621
318,TRL,BRIMA,trailer,1612
319,TRL,MORIT,trailer,1599
320,TRL,EZ/LO,trailer,1596
321,VEH,CHEVR,big truck,1591
322,VEH,STERL,big truck,1588
323,TRL,HOMES,trailer,1586
325,TRL,BWISE,trailer,1572
326,TRL,AM/HA,trailer,1564
327,VEH,JO/DE,power shovel,1558
328,TRL,CUSTO,trailer,1557
329,VEH,MAZDA,3-door,1555
330,TRL,CO/PR,trailer,1526
333,VEH,WE/ST,big truck,1488
335,TRL,EAST,trailer,1463
336,VEH,TRIUM,convertible,1457
337,TRL,SP/HA,trailer,1456
338,VEH,JEEP,3-door,1450
339,TRL,HO/MA,trailer,1422
340,TRL,FLAGS,trailer,1415
341,VEH,CHRYS,3-door,1415
342,TRL,CA/SU,trailer,1408
343,TRL,TRAIL,trailer,1408
344,TRL,GRIFF,trailer,1405
346,TRL,HAULI,trailer,1397
347,VEH,STARC,station wagon/sport utility vehicle,1397
348,VEH,CHEVR,big truck,1394
349,VEH,ISUZU,station wagon/sport utility vehicle,1393
350,VEH,PLYMO,sedan,1389
351,TRL,CALKI,trailer,1388
352,VEH,FREIG,big truck,1378
353,TRL,YA/CL,trailer,1376
354,TRL,US/CA,trailer,1376
355,VEH,INTER,big truck,1362
357,TRL,WILDW,trailer,1360
358,TRL,HUDSO,trailer,1355
359,VEH,RAM,big truck,1355
360,VEH,JAGUA,3-door,1351
361,TRL,STEAL,trailer,1346
363,VEH,BOMBA,multi-wheeled vehicle,1337
364,VEH,FREIG,big truck,1327
365,VEH,THOMA,station wagon/sport utility vehicle,1321
366,VEH,INTER,bus,1317
367,VEH,HONDA,convertible,1306
368,TRL,CA/ON,trailer,1304
369,VEH,ISUZU,big truck,1301
370,TRL,LOOK,trailer,1297
371,VEH,MASER,station wagon/sport utility vehicle,1288
373,VEH,VOLVO,big truck,1282
374,VEH,MITSU,convertible,1277
375,SNOW,SKIDO,snow plow,1266
376,TRL,COLEM,trailer,1259
378,TRL,ROCKW,trailer,1253
379,VEH,FERRA,convertible,1251
380,TRL,APPAL,trailer,1247
381,TRL,YONGQ,trailer,1243
382,TRL,HAULM,trailer,1242
383,VEH,CA/AM,motorcycle,1238
384,TRL,CARGO,trailer,1233
385,TRL,QUALI,trailer,1229
386,TRL,BLIZZ,trailer,1228
387,VEH,FERRA,3-door,1223
388,VEH,COLLI,bus,1223
389,VEH,WE/ST,tractor,1221
390,VEH,LINCO,3-door,1218
392,TRL,WORTH,trailer,1203
393,VEH,SUBAR,3-door,1202
394,TRL,DOOLI,trailer,1198
395,TRL,QU/ST,trailer,1195
396,TRL,EAGLE,trailer,1186
398,VEH,MITSU,big truck,1173
399,VEH,CHEVR,sedan,1166
400,TRL,TWF,trailer,1158
401,VEH,THOR,trailer,1158
402,VEH,COACH,trailer,1156
403,VEH,KYMCO,multi-wheeled vehicle,1155
404,TRL,DOOLI,trailer,1154
405,TRL,NUWAY,trailer,1144
406,VEH,FORD,van,1135
407,VEH,NISSA,taxi,1129
408,VEH,VOLVO,3-door,1128
409,VEH,GMC,big truck,1121
410,VEH,NOVA,bus,1119
411,TRL,CROSS,trailer,1118
413,VEH,MCI,bus,1112
415,VEH,OLDSM,convertible,1095
417,VEH,SSR,multi-wheeled vehicle,1091
419,VEH,SATUR,3-door,1088
420,TRL,BELMO,trailer,1087
421,TRL,PEQUE,trailer,1081
422,TRL,SH/LA,trailer,1079
424,VEH,HYUND,sedan,1075
425,TRL,PERFO,trailer,1072
426,TRL,TRITO,trailer,1064
427,VEH,GMC,truck,1064
428,TRL,FONTA,trailer,1058
429,VEH,KIA,3-door,1054
430,VEH,DODGE,big truck,1054
431,TRL,REFLE,trailer,1047
432,TRL,COX,trailer,1045
433,TRL,KRIST,trailer,1045
434,VEH,KENWO,big truck,1042
435,TRL,HEIL,trailer,1040
436,TRL,MANAC,trailer,1038
438,VEH,ISUZU,station wagon/sport utility vehicle,1034
439,TRL,HOLSC,trailer,1034
440,VEH,STARC,bus,1023
441,TRL,LOADR,trailer,1022
442,TRL,FREED,trailer,1016
443,TRL,REISE,trailer,1014
445,VEH,TRANS,station wagon/sport utility vehicle,1007
446,VEH,KYMCO,motorcycle,1007
447,VEH,OLDSM,station wagon/sport utility vehicle,1000
448,VEH,TOYOT,sedan,998
449,TRL,OTHER,trailer,997
450,TRL,HOMES,trailer,994
451,TRL,IMAGI,trailer,986
452,TRL,SALEM,trailer,969
453,TRL,TR/ST,trailer,964
455,TRL,AVENG,trailer,946
457,TRL,YACHT,trailer,943
458,TRL,SN/BE,trailer,940
459,TRL,SURET,trailer,936
460,TRL,PROWL,trailer,934
461,VEH,GILLI,bus,933
462,TRL,COACH,trailer,931
463,VEH,INTER,tow truck / wrecker,930
464,VEH,PLYMO,station wagon/sport utility vehicle,927
465,TRL,FO/WI,trailer,926
466,TRL,HE/HA,trailer,921
467,TRL,KRIST,trailer,920
468,TRL,DI/CA,trailer,919
472,TRL,FRUEH,trailer,913
473,VEH,HONDA,motorcycle,912
475,VEH,FORD,sedan,908
476,VEH,MITSU,truck,907
477,TRL,ECONO,trailer,907
478,VEH,BUELL,motorcycle,906
480,VEH,NISSA,sedan,898
481,VEH,GMC,bus,897
482,TRL,SEALI,trailer,893
483,TRL,HE/HA,trailer,893
484,TRL,HIDEO,trailer,890
485,TRL,VANGU,trailer,888
486,VEH,GMC,big truck,886
487,VEH,CHEVR,trailer,881
489,VEH,NISSA,convertible,877
490,TRL,RO/RI,trailer,873
491,TRL,EAGLE,trailer,872
492,TRL,PA/AM,trailer,867
493,VEH,MACK,big truck,867
494,VEH,WORKH,van,866
495,TRL,STAR,trailer,866
496,VEH,CHEVR,truck,863
497,VEH,PIAGG,motorcycle,861
498,VEH,PETER,big truck,858
499,VEH,MITSU,van,858
501,VEH,PREVO,bus,840
502,VEH,SATUR,convertible,836
503,TRL,FELLI,trailer,832
