,month,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT11,WT13,WT14,WT16,WT18,WT19,WT22,without_driver_troubles
0,1,6.04,0.0,0.05,0.0,0.0,0.0,52,41,0.0,150.0,150.0,15.0,21.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
1,1,10.29,0.0,0.0,0.0,0.0,0.0,50,33,0.0,270.0,270.0,25.1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,1,10.51,0.0,0.0,0.0,0.0,0.0,33,15,0.0,290.0,280.0,19.9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,1,7.61,0.0,0.0,0.0,0.0,0.0,27,13,0.0,290.0,310.0,16.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,1,6.26,0.0,0.0,0.0,0.0,0.0,40,27,0.0,300.0,320.0,16.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,1,6.93,0.0,0.0,0.0,0.0,0.0,53,35,0.0,230.0,230.0,14.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,1,6.93,0.0,0.0,0.0,0.0,0.0,62,46,0.0,250.0,280.0,15.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,1,7.83,0.0,0.0,0.0,0.0,0.0,46,33,0.0,290.0,300.0,16.1,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,1,3.58,0.0,0.0,0.0,0.0,0.0,41,31,0.0,240.0,230.0,14.1,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,1,7.38,0.0,0.0,0.0,0.0,0.0,47,33,0.0,270.0,270.0,14.1,17.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,1,5.82,0.0,0.07,0.0,0.0,0.0,48,37,0.0,70.0,70.0,14.1,19.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
11,1,9.17,0.0,1.38,0.0,0.0,0.0,45,41,0.0,50.0,70.0,30.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
12,1,11.41,0.0,0.09,0.0,0.0,0.0,50,28,0.0,230.0,240.0,25.1,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0
13,1,8.72,0.0,0.0,0.0,0.0,0.0,32,27,0.0,270.0,270.0,17.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
14,1,8.72,0.0,0.0,0.0,0.0,0.0,27,15,0.0,280.0,280.0,17.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,1,4.7,0.0,0.04,0.0,0.0,0.0,37,15,0.0,220.0,220.0,17.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
16,1,8.05,0.0,0.19,0.0,0.0,0.0,53,36,0.0,210.0,190.0,17.0,25.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
17,1,10.51,0.0,0.0,0.0,0.0,0.0,54,24,0.0,270.0,280.0,21.9,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,1,6.71,0.0,0.0,0.0,0.0,0.0,37,20,0.0,250.0,220.0,16.1,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,1,7.16,0.0,0.0,0.0,0.0,0.0,36,24,0.0,290.0,280.0,17.9,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20,1,9.62,0.0,0.39,4.3,1.0,0.0,29,22,0.0,40.0,60.0,17.0,23.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
21,1,8.5,0.0,0.0,0.0,3.0,0.0,34,18,0.0,30.0,30.0,16.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22,1,7.38,0.0,0.37,0.0,2.0,0.0,53,34,0.0,160.0,250.0,17.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0
23,1,8.28,0.0,0.0,0.0,0.0,0.0,53,42,0.0,250.0,220.0,14.1,21.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,1,6.71,0.0,0.0,0.0,0.0,0.0,44,36,0.0,290.0,320.0,16.1,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25,1,3.8,0.0,0.18,0.0,0.0,0.0,40,33,0.0,90.0,110.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
26,1,8.5,0.0,0.47,0.0,0.0,0.0,59,40,0.0,280.0,300.0,25.1,36.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
27,1,0.0,0.0,0.0,0.0,0.0,0.0,46,38,0.0,290.0,290.0,17.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28,1,0.0,0.0,0.0,0.0,0.0,0.0,44,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29,1,0.0,0.0,0.0,0.0,0.0,0.0,40,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30,1,0.0,0.0,0.0,0.0,0.0,0.0,59,38,0.0,220.0,220.0,13.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
31,2,8.05,0.0,0.03,0.0,0.0,0.0,62,48,0.0,270.0,280.0,19.9,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
32,2,6.93,0.0,0.0,0.0,0.0,0.0,50,35,0.0,290.0,290.0,16.1,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
33,2,6.71,0.0,0.0,0.0,0.0,0.0,44,30,0.0,290.0,290.0,16.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
34,2,5.14,0.0,0.0,0.0,0.0,0.0,46,35,0.0,40.0,60.0,15.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
35,2,6.04,0.0,0.0,0.0,0.0,0.0,40,32,0.0,290.0,30.0,10.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36,2,8.05,0.0,0.0,0.0,0.0,0.0,51,33,0.0,230.0,230.0,16.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
37,2,6.26,0.0,0.0,0.0,0.0,0.0,49,38,0.0,280.0,290.0,16.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
38,2,4.25,0.0,0.01,0.0,0.0,0.0,38,31,0.0,60.0,60.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
39,2,6.71,0.0,0.0,0.0,0.0,0.0,46,31,0.0,290.0,300.0,15.0,19.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
40,2,6.04,0.0,0.0,0.0,0.0,0.0,45,34,0.0,230.0,220.0,15.0,19.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41,2,5.82,0.0,0.08,0.0,0.0,0.0,38,32,0.0,330.0,320.0,15.0,21.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
42,2,9.84,0.0,0.01,0.2,0.0,0.0,32,20,0.0,260.0,330.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
43,2,8.05,0.0,0.0,0.0,0.0,0.0,44,28,0.0,270.0,270.0,17.9,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44,2,4.25,0.0,0.02,0.0,0.0,0.0,47,36,0.0,220.0,220.0,19.9,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
45,2,3.58,0.0,0.01,0.0,0.0,0.0,46,39,0.0,290.0,270.0,10.1,14.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
46,2,4.47,0.0,0.19,0.0,0.0,0.0,44,36,0.0,150.0,170.0,12.1,17.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
47,2,6.71,0.0,0.03,0.0,0.0,0.0,50,41,0.0,290.0,300.0,16.1,25.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
48,2,6.49,0.0,0.02,0.0,0.0,0.0,48,35,0.0,220.0,270.0,16.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
49,2,6.93,0.0,0.0,0.0,0.0,0.0,44,35,0.0,40.0,20.0,17.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
50,2,7.38,0.0,0.0,0.0,0.0,0.0,46,31,0.0,20.0,30.0,17.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
51,2,7.38,0.0,0.0,0.0,0.0,0.0,46,32,0.0,170.0,160.0,16.1,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
52,2,6.49,0.0,0.0,0.0,0.0,0.0,57,43,0.0,270.0,240.0,16.1,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,2,8.05,0.0,0.0,0.0,0.0,0.0,58,46,0.0,260.0,270.0,21.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
54,2,8.05,0.0,0.6,0.0,0.0,0.0,46,36,0.0,270.0,310.0,21.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0
55,2,14.99,0.0,0.0,0.0,0.0,0.0,45,33,0.0,260.0,280.0,21.9,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
