Record Type,Make,Body Type,Registration Class
VEH,HONDA,SUBN,610061
VEH,JEEP,SUBN,596894
VEH,TOYOT,SUBN,580574
VEH,TOYOT,4DSD,544441
VEH,HONDA,4DSD,487100
VEH,CHEVR,SUBN,451341
VEH,FORD,SUBN,442826
VEH,SUBAR,SUBN,394468
VEH,CHEVR,PICK,358115
VEH,NISSA,SUBN,355492
VEH,FORD,PICK,343677
VEH,NISSA,4DSD,298399
VEH,CHEVR,4DSD,254972
VEH,HYUND,4DSD,227593
VEH,FORD,4DSD,185969
VEH,DODGE,SUBN,169210
VEH,RAM,PICK,158017
VEH,HYUND,SUBN,157790
VEH,KIA,SUBN,156801
VEH,GMC,SUBN,136399
VEH,HA/DA,MCY,123148
VEH,LEXUS,SUBN,119770
VEH,TOYOT,PICK,118141
VEH,BMW,4DSD,117877
VEH,ME/BE,SUBN,116626
VEH,BMW,SUBN,114450
VEH,VOLKS,4DSD,113998
VEH,ME/BE,4DSD,110810
VEH,GMC,PICK,109909
VEH,MAZDA,SUBN,101536
VEH,ACURA,SUBN,98187
VEH,FORD,VAN,97282
VEH,DODGE,PICK,95112
VEH,SUBAR,4DSD,94413
VEH,CHRYS,SUBN,89412
VEH,CHEVR,2DSD,80295
VEH,KIA,4DSD,77986
VEH,VOLKS,SUBN,75283
VEH,LEXUS,4DSD,69869
VEH,AUDI,SUBN,65245
VEH,MAZDA,4DSD,59947
VEH,ACURA,4DSD,59775
VEH,BUICK,4DSD,58497
VEH,AUDI,4DSD,58165
VEH,BUICK,SUBN,57390
VEH,VOLVO,SUBN,56342
TRL,CA/ON,LTRL,54774
VEH,HONDA,2DSD,54602
VEH,DODGE,4DSD,53218
VEH,CADIL,SUBN,51648
VEH,FORD,2DSD,49857
VEH,CHEVR,VAN,48892
VEH,LA/RO,SUBN,48733
TRL,HOMEM,LTRL,45735
VEH,INFIN,SUBN,45278
SNOW,SK/DO,SNOW,44240
VEH,CHRYS,4DSD,43559
VEH,INFIN,4DSD,42142
VEH,HONDA,MCY,42142
VEH,CADIL,4DSD,41494
VEH,MITSU,SUBN,41030
VEH,LINCO,SUBN,38589
VEH,NISSA,PICK,37831
VEH,POLAR,ATV,35539
VEH,LINCO,4DSD,31548
VEH,YAMAH,MCY,31161
SNOW,POLAR,SNOW,30877
VEH,VOLVO,4DSD,24905
VEH,PONTI,4DSD,24799
VEH,FORD,CONV,24770
VEH,KAWAS,MCY,24655
SNOW,AR/CA,SNOW,23809
TRL,KARAV,LTRL,23506
VEH,BMW,CONV,23413
VEH,SUZUK,MCY,22888
VEH,MERCU,4DSD,22163
VEH,TOYOT,2DSD,21257
VEH,HONDA,ATV,21145
